Unnamed: 0,customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,labels,class
11693,3946,11693,0.23880597014925373,0.0,5,8,57.4,20.46,22.14,0.0,0.0,0.0,0.0,0.0,2,7
11694,3946,11694,0.26865671641791045,11.96,7,20,17.69,25.01,18.37,19.29,19.64,0.0,0.0,0.0,3,5
11695,3946,11695,0.15671641791044777,9.43,7,19,14.79,18.63,5.06,61.52,0.0,0.0,0.0,0.0,4,4
11696,3946,11696,0.26119402985074625,16.7,7,8,23.63,13.52,7.32,20.69,1.22,0.0,33.62,0.0,3,5
11697,3947,11697,0.029850746268656712,0.0,1,16,0.0,5.13,14.26,36.94,0.0,0.0,43.67,0.0,6,8
11698,3948,11698,0.04477611940298507,1.06,4,23,10.39,0.0,8.34,0.0,0.0,0.0,81.27,0.0,6,8
11699,3949,11699,0.09701492537313433,7.26,1,7,17.48,40.26,30.01,12.25,0.0,0.0,0.0,0.0,5,6
11700,3949,11700,0.13432835820895522,0.0,4,10,18.35,28.09,32.6,20.96,0.0,0.0,0.0,0.0,3,5
11701,3949,11701,0.16417910447761194,0.0,2,17,9.04,48.93,24.81,17.23,0.0,0.0,0.0,0.0,5,6
11702,3950,11702,0.3805970149253731,8.51,7,22,11.89,39.13,9.36,34.31,5.31,0.0,0.0,0.0,3,5
11703,3951,11703,0.0,0.0,2,23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7
11704,3952,11704,0.02238805970149254,22.36,7,17,2.87,0.0,0.0,97.13,0.0,0.0,0.0,0.0,4,4
11705,3953,11705,0.11940298507462688,0.21,1,13,43.13,45.15,7.7,0.0,4.01,0.0,0.0,0.0,5,6
11706,3954,11706,0.08208955223880599,3.21,3,14,44.37,0.0,51.54,4.09,0.0,0.0,0.0,0.0,1,1
11707,3954,11707,0.09701492537313433,22.07,1,9,1.5,0.0,17.3,0.98,1.93,0.0,78.29,0.0,6,8
11708,3954,11708,0.08208955223880599,10.0,4,9,21.26,0.0,34.55,33.81,0.0,0.0,0.0,10.39,4,4
11709,3954,11709,0.12686567164179105,7.18,2,17,18.17,0.0,22.88,0.0,0.0,0.0,57.83,1.12,6,8
11710,3955,11710,0.16417910447761194,0.0,1,14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1,1
11711,3955,11711,0.12686567164179105,2.79,5,16,16.64,0.0,83.36,0.0,0.0,0.0,0.0,0.0,1,1
11712,3955,11712,0.1865671641791045,1.29,2,14,21.6,0.0,78.4,0.0,0.0,0.0,0.0,0.0,1,1
11714,3957,11714,0.029850746268656712,0.0,7,10,0.0,0.0,20.82,0.0,0.0,0.0,79.18,0.0,6,8
